population_segment,median_dkk,pctl5_dkk,pctl95_dkk,median_usd,pctl5_usd,pctl95_usd
AHLE Breeding Population,4147189637.4599733,3799746438.731773,4499456508.711927,587242052.6643323,538044095.724419,637123041.6336089
AHLE Rearing Population,1381511615.1715894,1315019812.7095423,1447171527.8463204,195622044.70829707,186206805.47967118,204919488.34303898
"AHLE Fattening Population (domestic slaughter, 55%)",2232583160.6021614,2060864582.428057,2406802806.4749675,316133775.5412661,291818424.8718129,340803277.3968554
AHLE Total (median),7761284413.233725,7175630833.869371,8353430843.033215,1098997872.9138954,1016069326.075903,1182845807.3735032
