production_system,metric,value_usd,error_high_usd,error_low_usd,value_birr,error_high_birr,error_low_birr,total_biomass_kg,value_usd_perkg,error_high_usd_perkg,error_low_usd_perkg,value_birr_perkg,error_high_birr_perkg,error_low_birr_perkg
Crop-Livestock mixed,amr_production_losses_median,487461016.0,92810427.0,112981361.0,21316670229.68,4058599972.7099996,4940674916.53,11300000000.0,0.04313814300884956,0.008213312123893805,0.00999835053097345,1.8864309937769912,0.35916813917787604,0.437227868719469
Pastoral,amr_production_losses_median,125889494.00000001,45449280.999999985,29208538.0,5505147572.62,1987497058.1299992,1277289366.74,2600000000.0,0.04841903615384616,0.017480492692307687,0.011234053076923076,2.1173644510076923,0.7644219454346151,0.49126514105384617
Peri-urban (specialised dairy),amr_production_losses_median,68476843.0,63167099.000000015,51841206.99999999,2994492344.39,2762297239.2700005,2267015982.1099997,900000000.0,0.07608538111111111,0.07018566555555557,0.0576013411111111,3.3272137159888886,3.0692191547444447,2.5189066467888885
Crop-Livestock mixed,ahle_withoutamr_mean,9912538984.0,1370000000.0,1240000000.0,433475329770.31995,59910099999.99999,54225199999.99999,11300000000.0,0.8772158392920354,0.12123893805309735,0.10973451327433628,38.360648652240705,5.3017787610619465,4.798690265486725
Pastoral,ahle_withoutamr_mean,3594110506.0,720000000.0,660000000.0,157170452427.37997,31485599999.999996,28861799999.999996,2600000000.0,1.3823501946153847,0.27692307692307694,0.25384615384615383,60.45017401053076,12.109846153846153,11.100692307692306
Peri-urban (specialised dairy),ahle_withoutamr_mean,1231523157.0,500000000.0,430000000.0,53854507655.60999,21865000000.0,18803900000.0,900000000.0,1.3683590633333333,0.5555555555555556,0.4777777777777778,59.83834183956666,24.294444444444444,20.89322222222222
