farm_type__size_,median_dkk,pctl5_dkk,pctl95_dkk,median_usd,pctl5_usd,pctl95_usd
Breeding farm (1000 sows),-4204915.370822762,-4562085.529664644,-3852636.0263665398,-595416.0165085031,-645991.3110005136,-545533.261333502
Rearing farm (2500 weaner spaces),-693580.4831053761,-726544.6894525957,-660198.6309604371,-98210.99640772126,-102878.72802648754,-93484.1261439979
Fattening farm (2000 fattening spaces),-1076076.3254740278,-1160047.950658924,-993310.1827036163,-152372.40768712235,-164262.78981330362,-140652.7218708321
