,region,n_countries,amu_terrestrial_tonnes_min,amu_terrestrial_tonnes_mostlikely,amu_terrestrial_tonnes_max,amu_terrestrial_tonnes_distr,amu_terrestrial_tonnes_distr_lambda,amu_eurospertonne_min,amu_eurospertonne_mostlikely,amu_eurospertonne_max,amu_eurospertonne_distr,amu_eurospertonne_distr_lambda,biomass_total_kg,biomass_total_terr_kg,tonnes_ci95_low,tonnes_ci95_high,price_ci95_low,price_ci95_high,amu_terrestrial_tonnes_errorlow,amu_terrestrial_tonnes_errorhigh,amu_eurospertonne_errorlow,amu_eurospertonne_errorhigh,expenditure_ci95_low,expenditure_ci95_mid,expenditure_ci95_high,amu_terrestrial_expenditure_midpoint,amu_terrestrial_expenditure_errorlow,amu_terrestrial_expenditure_errorhigh
0,Africa,24,1403,2806.0,3086,Pert,,20476.0,176992.0,206007.0,Modified pert; Ƴ=2.5,2.5,82210550037.93834,81776881551.43832,1976.193945233711,3033.5316567149457,67808.92901949247,201277.73083444955,829.806054766289,227.5316567149457,109183.07098050753,24285.730834449554,175002437.69022176,396191835.4148759,568640406.7962328,396191835.4148759,221189397.72465417,172448571.3813569
1,Americas,19,18753,29000.0,31900,Pert,,20476.0,82775.5,145075.0,Uniform,,307414936043.14056,299914043716.64056,22735.10065023782,31314.195481254683,23590.975,141960.025,6264.899349762181,2314.195481254683,59184.525,59184.524999999994,665831436.347764,2575493157.1482725,4684560641.4896145,2575493157.1482725,1909661720.8005085,2109067484.341342
2,"Asia, Far East and Oceania",22,33387,50080.0,55088,Pert,,20476.0,108806.0,123314.0,Modified pert; Ƴ=2.5,2.5,282812613977.946,227493629165.94614,39812.99808573467,54061.070435834125,47559.30115676153,120933.55953607627,10267.001914265333,3981.0704358341245,61246.69884323847,12127.559536076267,2258653192.077011,4532337524.808082,6170064916.515641,4532337524.808082,2273684332.7310705,1637727391.7075596
3,Europe,41,7314,7679.5,8045,Uniform,,,145075.0,,,,136752195587.50722,133355079235.00725,7332.275,8026.725,,,347.22500000000036,347.22500000000036,,,1091236138.4152722,1646325355.5952368,2201464886.858211,1646325355.5952368,555089217.1799645,555139531.2629743
4,Middle East,3,34,198.0,218,Pert,,20476.0,108806.0,123314.0,Modified pert; Ƴ=2.5,2.5,2446925465.033676,2421760815.033676,104.66498559019126,214.4154565588197,47559.30115676153,120933.55953607627,93.33501440980874,16.4154565588197,61246.69884323847,12127.559536076267,7383186.718937958,16255856.655218376,23991780.018102385,16255856.655218376,8872669.936280418,7735923.362884009
